# file...... reg1_output.csv
# date...... Wed Feb 16 10:35:53 2022
# user...... dchassin
# host...... (null)
# target.... regulator 50
# trigger... (none)
# interval.. 1
# limit..... 1
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2014-01-01 03:00:00 EST,6,-8,10,+1.25362e+06,+693916,+934100,+403793,+1.362e+06,+675922,+3.54972e+06,+1.77363e+06
2014-01-01 03:00:01 EST,6,-8,10,+1.25362e+06,+693916,+934100,+403793,+1.362e+06,+675922,+3.54972e+06,+1.77363e+06
# end of tape
